"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/SMP+Negeri+2+Bandung/data=!4m7!3m6!1s0x2e68e631129e13dd:0x5600088da846c97d!8m2!3d-6.9144!4d107.61401!16s%2Fg%2F11g6qycms4!19sChIJ3ROeEjHmaC4RfclGqI0IAFY?authuser=0&hl=id&rclk=1","SMP Negeri 2 Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/UPI+Bandung/data=!4m7!3m6!1s0x2e68e6b902993be5:0xbbbb1e2c9bba150d!8m2!3d-6.8598477!4d107.5948714!16s%2Fg%2F11ytcxy4_s!19sChIJ5TuZArnmaC4RDRW6myweu7s?authuser=0&hl=id&rclk=1","UPI Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Majelis+Ulama+Indonesia+Bandung/data=!4m7!3m6!1s0x2e68e64aca966d85:0x4d087712f7adcfbe!8m2!3d-6.90585!4d107.62147!16s%2Fg%2F11gh1njc3_!19sChIJhW2WykrmaC4Rvs-t9xJ3CE0?authuser=0&hl=id&rclk=1","Majelis Ulama Indonesia Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Halte+Damri+Kebon+Kalapa+-+Tanjungsari/data=!4m7!3m6!1s0x2e68e937846d5e47:0x9d067716430da6a9!8m2!3d-6.9303035!4d107.6067001!16s%2Fg%2F11fd6m4hxf!19sChIJR15thDfpaC4RqaYNQxZ3Bp0?authuser=0&hl=id&rclk=1","Halte Damri Kebon Kalapa - Tanjungsari","Agen Tiket Bus","","Rute","·","·"
"https://www.google.com/maps/place/Bandung+Outlet+Pasteur/data=!4m7!3m6!1s0x2e68e664ef3daadd:0xb16a5c609a02d9f1!8m2!3d-6.894826!4d107.587952!16s%2Fg%2F11x88lsq3t!19sChIJ3ao972TmaC4R8dkCmmBcarE?authuser=0&hl=id&rclk=1","Bandung Outlet Pasteur","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Linggawastu/data=!4m7!3m6!1s0x2e68e646eacfb5b5:0x761157a03d56aea!8m2!3d-6.90397!4d107.60545!16s%2Fg%2F11c6djsc9t!19sChIJtbXP6kbmaC4R6mrVA3oVYQc?authuser=0&hl=id&rclk=1","Linggawastu","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/SMA+Pasundan+2+Bandung/data=!4m7!3m6!1s0x2e68e6593135467b:0x821022870749ac10!8m2!3d-6.890779!4d107.604243!16s%2Fg%2F11b5y_9tc2!19sChIJe0Y1MVnmaC4REKxJB4ciEII?authuser=0&hl=id&rclk=1","SMA Pasundan 2 Bandung","Terminal Bus","","Rute","·",""
"https://www.google.com/maps/place/STHB+Sekolah+Tinggi+Hukum+Bandung/data=!4m7!3m6!1s0x2e68e647371c1df1:0x30ab4ddac69ef944!8m2!3d-6.90632!4d107.60435!16s%2Fg%2F11tfp58zzr!19sChIJ8R0cN0fmaC4RRPmextpNqzA?authuser=0&hl=id&rclk=1","STHB Sekolah Tinggi Hukum Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Perum+DAMRI+Bandung/data=!4m7!3m6!1s0x2e68c2b86d9948fd:0xf958cf3c0a350e4f!8m2!3d-6.9370563!4d107.6856826!16s%2Fg%2F1pzv81b7f!19sChIJ_UiZbbjCaC4RTw41CjzPWPk?authuser=0&hl=id&rclk=1","Perum DAMRI Bandung","Layanan Transportasi","","Rute","·","Jl. Soekarno-Hatta No.787"
"https://www.google.com/maps/place/Suci+Busline/data=!4m7!3m6!1s0x2e68e795d8d06177:0x1edef5bc4b68443a!8m2!3d-6.90119!4d107.6471!16s%2Fg%2F11ygxz00n1!19sChIJd2HQ2JXnaC4ROkRoS7z13h4?authuser=0&hl=id&rclk=1","Suci Busline","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Museum+Kota+Bandung/data=!4m7!3m6!1s0x2e68e6382ac17f1d:0xc5c9de2dcb600153!8m2!3d-6.910134!4d107.60958!16s%2Fg%2F11gh1njkfr!19sChIJHX_BKjjmaC4RUwFgyy3eycU?authuser=0&hl=id&rclk=1","Museum Kota Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Bandung+Outlet+Dipatiukur/data=!4m7!3m6!1s0x2e68e656099b8521:0x9f986a6b35f479b7!8m2!3d-6.887733!4d107.615454!16s%2Fg%2F11yc87d9z2!19sChIJIYWbCVbmaC4Rt3n0NWtqmJ8?authuser=0&hl=id&rclk=1","Bandung Outlet Dipatiukur","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Djunjunan+3/data=!4m7!3m6!1s0x2e68e67caa4e9183:0x3954dfa9bef43097!8m2!3d-6.89291!4d107.58581!16s%2Fg%2F11c30zy69s!19sChIJg5FOqnzmaC4RlzD0vqnfVDk?authuser=0&hl=id&rclk=1","Djunjunan 3","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Bandung+Pasteur/data=!4m7!3m6!1s0x2e68e665e229469f:0x1229d47c67db4488!8m2!3d-6.8972289!4d107.5918607!16s%2Fg%2F11x0sxc3rw!19sChIJn0Yp4mXmaC4RiETbZ3zUKRI?authuser=0&hl=id&rclk=1","Bandung Pasteur","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Kartika+Sari+A/data=!4m7!3m6!1s0x2e68e64e2ca1b82d:0x171f6625f017d304!8m2!3d-6.89755!4d107.61274!16s%2Fg%2F11s7_3x4c7!19sChIJLbihLE7maC4RBNMX8CVmHxc?authuser=0&hl=id&rclk=1","Kartika Sari A","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Bandung+Creative+Hub+B/data=!4m7!3m6!1s0x2e68e7d03791c23b:0xcce9b7580c180f0!8m2!3d-6.91829!4d107.6311!16s%2Fg%2F11l5q110q2!19sChIJO8KRN9DnaC4R8IDBgHWbzgw?authuser=0&hl=id&rclk=1","Bandung Creative Hub B","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Bandung+Jl+Surapati/data=!4m7!3m6!1s0x2e68e7b22b5e6ca5:0x6fc001955c4356ae!8m2!3d-6.89917!4d107.6271!16s%2Fg%2F11yfzr5lhm!19sChIJpWxeK7LnaC4RrlZDXJUBwG8?authuser=0&hl=id&rclk=1","Bandung Jl Surapati","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Halte+Supratman+1/data=!4m7!3m6!1s0x2e68e7c89398a455:0xf7aa9a8ddfa71c49!8m2!3d-6.9102391!4d107.632092!16s%2Fg%2F11bws83rty!19sChIJVaSYk8jnaC4RSRyn342aqvc?authuser=0&hl=id&rclk=1","Halte Supratman 1","Perhentian bus","","Rute","·","Jl. Supratman"
"https://www.google.com/maps/place/Bandung+City+Kruzz+Bandung+Cikapayang/data=!4m7!3m6!1s0x2e68e64ff09ac7bf:0xdffbb10b7b1aa46b!8m2!3d-6.89799!4d107.6102!16s%2Fg%2F11xssbqdyq!19sChIJv8ea8E_maC4Ra6Qaewux-98?authuser=0&hl=id&rclk=1","Bandung City Kruzz Bandung Cikapayang","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/SMA+Negeri+1+Bandung/data=!4m7!3m6!1s0x2e68e651b29a9d8f:0x2b336b2c2d4d6f2a!8m2!3d-6.8954!4d107.61282!16s%2Fg%2F1jkyppj39!19sChIJj52aslHmaC4RKm9NLSxrMys?authuser=0&hl=id&rclk=1","SMA Negeri 1 Bandung","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Cipaganti+Shuttle+Pasteur+Point/data=!4m7!3m6!1s0x2e68e6477eda65d3:0xa2737629aead8bbb!8m2!3d-6.8938028!4d107.5862052!16s%2Fg%2F1q62l_znq!19sChIJ02XafkfmaC4Ru4utril2c6I?authuser=0&hl=id&rclk=1","Cipaganti Shuttle Pasteur Point","Perhentian bus","","Rute","·","Jl. Dr. Djunjunan No.137"
"https://www.google.com/maps/place/Halte+Padjajaran+1/data=!4m7!3m6!1s0x2e68e66b68373a79:0x9c1b41f7a4bb48fe!8m2!3d-6.9069146!4d107.5928258!16s%2Fg%2F11b5ywd9g7!19sChIJeTo3aGvmaC4R_ki7pPdBG5w?authuser=0&hl=id&rclk=1","Halte Padjajaran 1","Perhentian bus","","Rute","·","Jl. Pajajaran"
