"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Reni+Print/data=!4m7!3m6!1s0x2e6f1d871f10e701:0xe981409307336959!8m2!3d-6.7296899!4d108.5625373!16s%2Fg%2F11c58p0ptn!19sChIJAecQH4cdby4RWWkzB5NAgek?authuser=0&hl=id&rclk=1","Reni Print","5,0","(5)","Toko Percetakan","·","·","Segera tutup","· 21.00 · Buka Sel pukul 14.00","Jalan Kesambi Dalam - Cantilan, Jagasatru, Pekalipan, Pulasaren, Pekalipan","(0231) 220294","","Rute","","Pesan antar"
"https://www.google.com/maps/place/KMO+Print/data=!4m7!3m6!1s0x2e6f1d529a31501b:0x287cb1b4d1e4fb58!8m2!3d-6.7314045!4d108.5266455!16s%2Fg%2F11kvx5mkp2!19sChIJG1AxmlIdby4RWPvk0bSxfCg?authuser=0&hl=id&rclk=1","KMO Print","5,0","(1)","Industri Percetakan","·","Jl. Kalikoa","Tutup","· Buka Sel pukul 08.00","·","0856-9745-3497","","Rute","",""
"https://www.google.com/maps/place/mahyra+design/data=!4m7!3m6!1s0x2e6f1d08b8d827b5:0x4f2587d0c3a4409b!8m2!3d-6.7661919!4d108.5402389!16s%2Fg%2F11v5gjsclt!19sChIJtSfYuAgdby4Rm0Ckw9CHJU8?authuser=0&hl=id&rclk=1","mahyra design","5,0","(6)","Toko Percetakan","·","6GMR+F8F Perumahan puri, argasunya, Jl. Karya Bhakti blok E2","Buka 24 jam","","·","0899-9285-078","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil Cetakan'y bagus dan berkualitas"""
"https://www.google.com/maps/place/DP+PRINT/data=!4m7!3m6!1s0x2e6f1f004e09af63:0x11c0c40f884e3272!8m2!3d-6.7340639!4d108.5221266!16s%2Fg%2F11xckj8c7w!19sChIJY68JTgAfby4RcjJOiA_EwBE?authuser=0&hl=id&rclk=1","DP PRINT","5,0","(1)","Industri Percetakan","·","Griya Caraka, Jl. Hanjuang 3 H5 No.80","Tutup","· Buka Sel pukul 10.00","·","0877-7666-7433","","Situs Web","",""
"https://www.google.com/maps/place/Bagja+Print+Cirebon+Girang/data=!4m7!3m6!1s0x2e6f1e8ed4446cc1:0xfa698eec0107ec7a!8m2!3d-6.7756548!4d108.5074851!16s%2Fg%2F11d_wy39xt!19sChIJwWxE1I4eby4ReuwHAeyOafo?authuser=0&hl=id&rclk=1","Bagja Print Cirebon Girang","4,7","(13)","Toko bahan makanan","·","Jalan Kramat No.55","Buka","· Tutup pukul 22.00","·","0852-2113-6503","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cetak fotonya di Bagja"
"https://www.google.com/maps/place/FA+STORE/data=!4m7!3m6!1s0x2e6f1f0fd62f6eff:0xeb39ccd915a985b0!8m2!3d-6.744177!4d108.5120834!16s%2Fg%2F11j72w7bbs!19sChIJ_24v1g8fby4RsIWpFdnMOes?authuser=0&hl=id&rclk=1","FA STORE","5,0","(3)","Toko Fotokopi","·","Jl.Raden Cempa, Blok Desa Jl. Desa Cemp. No.85, RT.01/RW.05","Segera tutup","· 21.00 · Buka Sel pukul 06.00","·","0821-2646-6749","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lumayan lengkap pelayanannya dr jasa sampai Atk juga ada."""
"https://www.google.com/maps/place/ADIGUNA+PRINT+-+TINTA+%26+SERVICE+PRINTER+,+SIPIL,+ADVERTISING,+PERCETAKAN+DAN+DIGITAL+PRINTING/data=!4m7!3m6!1s0x2e6f1d773be5e0bb:0xcc11556034b07003!8m2!3d-6.7361064!4d108.5555439!16s%2Fg%2F11fp8jk62n!19sChIJu-DlO3cdby4RA3CwNGBVEcw?authuser=0&hl=id&rclk=1","ADIGUNA PRINT - TINTA & SERVICE PRINTER , SIPIL, ADVERTISING, PERCETAKAN DAN DIGITAL PRINTING","4,7","(18)","Toko Percetakan","·","samping DJ Motor, Jalan Pangeran Drajat Ruko No.129A, Jl. Pangeran Drajat Jl. Dukuh Semar No.129","Tutup","· Buka Sel pukul 08.00","·","0821-1134-8883","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Puas sy bisa konsultasi sm adi guna"
"https://www.google.com/maps/place/OkePrint/data=!4m7!3m6!1s0x2e6f1deccf62c93b:0xd1cb002a22df4328!8m2!3d-6.7409155!4d108.5474085!16s%2Fg%2F11bcdzv0r3!19sChIJO8liz-wdby4RKEPfIioAy9E?authuser=0&hl=id&rclk=1","OkePrint","3,2","(27)","Toko","·","7G5W+HX9, Jl. Kanggraksan","Tutup","· Buka Sel pukul 09.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Oke spt namanya oke"
"https://www.google.com/maps/place/Aero+Print/data=!4m7!3m6!1s0x2e6f1df2949c2565:0x3131b90e67201e11!8m2!3d-6.7405107!4d108.5470032!16s%2Fg%2F11f794ly35!19sChIJZSWclPIdby4RER4gZw65MTE?authuser=0&hl=id&rclk=1","Aero Print","5,0","(3)","Toko Percetakan","·","Jl. Kanggraksan No.20a","Tutup","· Buka Sel pukul 08.00","·","0812-2030-3727","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap pelayanannya sangat memuaskan👍"""
"https://www.google.com/maps/place/Kartika+Foto+Copy+%26+Print+Centre/data=!4m7!3m6!1s0x2e6ee1936aae4a93:0xe696aab610a2876b!8m2!3d-6.7077526!4d108.5061771!16s%2Fg%2F11c58ng01t!19sChIJk0quapPhbi4Ra4eiELaqluY?authuser=0&hl=id&rclk=1","Kartika Foto Copy & Print Centre","4,2","(35)","Toko Percetakan","·","·","Segera tutup","· 21.00 · Buka Sel pukul 06.00","7GR4+VFV, Jl. Fatahillah","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat"
