"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","e4rVHe"
"https://www.google.com/maps/place/*FazriArt*+PhotoCopy+Centre%2FPenjilidan+%26+Prctkn+Map+Rapor+%26+Ijazah/data=!4m7!3m6!1s0x2e6f1dc08872ad77:0x15031fc600a1747f!8m2!3d-6.7510288!4d108.5454899!16s%2Fg%2F11gdkr5fqx!19sChIJd61yiMAdby4Rf3ShAMYfAxU?authuser=0&hl=id&rclk=1","*FazriArt* PhotoCopy Centre/Penjilidan & Prctkn Map Rapor & Ijazah","5,0","(13)","Toko Percetakan","·","Jalan Karya Bakti TuguDalem (Sblh Timur Bandara Penggung, RT.02/RW.04","Segera tutup","· 20.30 · Buka Sel pukul 07.00","·","0859-7415-2321","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""mantap jiwa,,,full amanah""",""
"https://www.google.com/maps/place/Photo+Copy+Sinar+Pagi/data=!4m7!3m6!1s0x2e6f1dae869e54b1:0x1c4e33bebfb1af19!8m2!3d-6.762743!4d108.5615873!16s%2Fg%2F11bz_0h2ry!19sChIJsVSehq4dby4RGa-xv74zThw?authuser=0&hl=id&rclk=1","Photo Copy Sinar Pagi","4,5","(52)","Toko Fotokopi","·","·","Buka","· Tutup pukul 22.00","6HP6+WJ4, Jl. Pamengkang Raya","0812-2171-549","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat",""
"https://www.google.com/maps/place/TOKO+%28PERALATAN+SABLON%29./data=!4m7!3m6!1s0x2e6f1dab13218c9b:0x4c638d845bcb9ab0!8m2!3d-6.7449606!4d108.541609!16s%2Fg%2F11g3j3295_!19sChIJm4whE6sdby4RsJrLW4SNY0w?authuser=0&hl=id&rclk=1","TOKO (PERALATAN SABLON).","4,8","(18)","Toko Peralatan Sablon","·","Jl. Kalitanjung No.25 Rt.3/5, Kp Jl. Kalitanjung - Penyuken No.25","Buka","· Tutup pukul 22.00","·","0817-7521-0878","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Toko peralatan yg kumplit dan terjangkau""",""
"https://www.google.com/maps/place/Foto+kopi+uda+roni/data=!4m7!3m6!1s0x2e6f1d1880bf39db:0x6bbc7e777a12f929!8m2!3d-6.7353154!4d108.558407!16s%2Fg%2F11kq4x9786!19sChIJ2zm_gBgdby4RKfkSend-vGs?authuser=0&hl=id&rclk=1","Foto kopi uda roni","4,4","(10)","Toko Fotokopi","·","7H75+V9F gang 6, Jl. Pangeran Drajat","Buka 24 jam","","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantul Kertas nya enak""",""
"https://www.google.com/maps/place/Fajar+Copy+Center+%28Cabang+Cirebon%29/data=!4m7!3m6!1s0x2e6f1df510274c63:0xaaa82887a7c8fe01!8m2!3d-6.7303217!4d108.5440948!16s%2Fg%2F11bc7rm0gl!19sChIJY0wnEPUdby4RAf7Ip4coqKo?authuser=0&hl=id&rclk=1","Fajar Copy Center (Cabang Cirebon)","4,6","(40)","Toko Perlengkapan Mesin Fotokopi","·","·","Tutup","· Buka Sel pukul 07.00","Jl. Pemuda Raya Ruko Pemuda Estate No.1","0821-1597-8700","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ngerjainnya cepet""",""
"https://www.google.com/maps/place/MDK+Digital+Print/data=!4m7!3m6!1s0x2e6f1d04d5b64d27:0x728cdb517a280f1c!8m2!3d-6.7406475!4d108.5474338!16s%2Fg%2F11shq4ypn5!19sChIJJ0221QQdby4RHA8oelHbjHI?authuser=0&hl=id&rclk=1","MDK Digital Print","","","Layanan cetak digital","·","Jl. Kanggraksan Selatan No.33/35 002, RT.001","Buka","· Tutup Sel pukul 05.00","·","0811-2409-789","","Situs Web","","","Tidak ada ulasan"
"https://www.google.com/maps/place/KRei+FOTOCOPY/data=!4m7!3m6!1s0x2e6f1d579b889f6f:0x493127da80d6cc01!8m2!3d-6.7444719!4d108.5257128!16s%2Fg%2F11j91pzjzk!19sChIJb5-Im1cdby4RAczWgNonMUk?authuser=0&hl=id&rclk=1","KRei FOTOCOPY","","","Toko Fotokopi","·","7G4G+678, Jl. Saladara, RT.04/RW.10","","","","0812-9982-6484","","Rute","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Putra+Gemilang+Copy+Centre/data=!4m7!3m6!1s0x2e6f1ddd847b796f:0xb9d03fee8f518e8b!8m2!3d-6.7491366!4d108.5310924!16s%2Fg%2F11hf82m_3h!19sChIJb3l7hN0dby4Ri45Rj-4_0Lk?authuser=0&hl=id&rclk=1","Putra Gemilang Copy Centre","","","Toko Fotokopi","","","","","","","","Rute","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Photo+Copy+Saudara/data=!4m7!3m6!1s0x2e6f1d87bb2d2501:0x1e3d19ba5858823a!8m2!3d-6.7291576!4d108.5604529!16s%2Fg%2F11c542_252!19sChIJASUtu4cdby4ROoJYWLoZPR4?authuser=0&hl=id&rclk=1","Photo Copy Saudara","4,5","(4)","Toko Fotokopi","·","Jl. Kesambi Dalam No.24","Buka","· Tutup pukul 22.00","·","0823-2564-1702","","Rute","","",""
"https://www.google.com/maps/place/FA+STORE/data=!4m7!3m6!1s0x2e6f1f0fd62f6eff:0xeb39ccd915a985b0!8m2!3d-6.744177!4d108.5120834!16s%2Fg%2F11j72w7bbs!19sChIJ_24v1g8fby4RsIWpFdnMOes?authuser=0&hl=id&rclk=1","FA STORE","5,0","(3)","Toko Fotokopi","·","Jl.Raden Cempa, Blok Desa Jl. Desa Cemp. No.85, RT.01/RW.05","Buka","· Tutup pukul 21.00","·","0821-2646-6749","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lumayan lengkap pelayanannya dr jasa sampai Atk juga ada.""",""
