"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/Jl+Kecapi/data=!4m7!3m6!1s0x2e69ec11a01b1843:0xbc204a037ce0b488!8m2!3d-6.36788!4d106.83398!16s%2Fg%2F1hc2jy816!19sChIJQxgboBHsaS4RiLTgfANKILw?authuser=0&hl=id&rclk=1","Jl Kecapi","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/SMAN+1+Depok/data=!4m7!3m6!1s0x2e69e9591bae075b:0x13d14e516c76ded6!8m2!3d-6.39457!4d106.81449!16s%2Fg%2F11f5g0htkn!19sChIJWweuG1npaS4R1t52bFFO0RM?authuser=0&hl=id&rclk=1","SMAN 1 Depok","Perhentian bus","","Rute","·","Jl. Nusantara Raya No.317"
"https://www.google.com/maps/place/Jl.+Pemuda+Depok/data=!4m7!3m6!1s0x2e69ebdfebf064a5:0x1c818cb982c4e9ac!8m2!3d-6.40262!4d106.81902!16s%2Fg%2F11fd5645by!19sChIJpWTw69_raS4RrOnEgrmMgRw?authuser=0&hl=id&rclk=1","Jl. Pemuda Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Seberang+RS+Simpangan+Depok/data=!4m7!3m6!1s0x2e69eba64b5d4d4f:0x73679d862108e637!8m2!3d-6.40891!4d106.86203!16s%2Fg%2F11fd5684_0!19sChIJT01dS6braS4RN-YIIYadZ3M?authuser=0&hl=id&rclk=1","Seberang RS Simpangan Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Halte+PNJ/data=!4m7!3m6!1s0x2e69ec1b8d292d69:0xdb09fa070138e698!8m2!3d-6.366926!4d106.8243131!16s%2Fg%2F11b6bj0l17!19sChIJaS0pjRvsaS4RmOY4AQf6Cds?authuser=0&hl=id&rclk=1","Halte PNJ","Perhentian bus","","Rute","·","Jl. Lingkar"
"https://www.google.com/maps/place/Gas+Alam/data=!4m7!3m6!1s0x2e69eb7f9e357e1d:0x68751199a30c3da4!8m2!3d-6.3821381!4d106.8663114!16s%2Fg%2F11gnq83vt4!19sChIJHX41nn_raS4RpD0Mo5kRdWg?authuser=0&hl=id&rclk=1","Gas Alam","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/RS+Bhayangkara+Depok/data=!4m7!3m6!1s0x2e69ec43eccc7eb9:0xe3c9227d93cba97f!8m2!3d-6.35529!4d106.84916!16s%2Fg%2F11gtzns92j!19sChIJuX7M7EPsaS4Rf6nLk30iyeM?authuser=0&hl=id&rclk=1","RS Bhayangkara Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/RS+Simpangan+Depok/data=!4m7!3m6!1s0x2e69eba64c5bf1b3:0x7ae9de3800f897b7!8m2!3d-6.408692!4d106.8618698!16s%2Fg%2F11f5g0j6x_!19sChIJs_FbTKbraS4Rt5f4ADje6Xo?authuser=0&hl=id&rclk=1","RS Simpangan Depok","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Balaikota+I/data=!4m7!3m6!1s0x2e69ebe394676c57:0xdec41277e8cf8af6!8m2!3d-6.39486!4d106.82255!16s%2Fg%2F1ptwj1fx6!19sChIJV2xnlOPraS4R9orP6HcSxN4?authuser=0&hl=id&rclk=1","Balaikota I","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Depok-Margonda/data=!4m7!3m6!1s0x2e69ebe3c14bf593:0x196254819472e341!8m2!3d-6.395413!4d106.821912!16s%2Fg%2F11qp5zjvbg!19sChIJk_VLwePraS4RQeNylIFUYhk?authuser=0&hl=id&rclk=1","Depok-Margonda","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Universitas+Indonesia/data=!4m7!3m6!1s0x2e69ec3b127666e1:0x198fb807c076d697!8m2!3d-6.3535008!4d106.8318214!16s%2Fg%2F1hf4wykm_!19sChIJ4WZ2EjvsaS4Rl9Z2wAe4jxk?authuser=0&hl=id&rclk=1","Universitas Indonesia","Perhentian bus","","Rute","",""
"https://www.google.com/maps/place/Kramatdjati/data=!4m7!3m6!1s0x2e69ef3ff0d9a1b5:0x5445f40bbc31ee40!8m2!3d-6.363835!4d106.747479!16s%2Fg%2F1ptwygv3w!19sChIJtaHZ8D_vaS4RQO4xvAv0RVQ?authuser=0&hl=id&rclk=1","Kramatdjati","Perhentian bus","","Rute","·","Jalan Raya Cinangka KM. 10, Serua Sawangan"
"https://www.google.com/maps/place/Detos+Mall+Depok/data=!4m7!3m6!1s0x2e69ec0fbb23987b:0xdccc5a5ebd63ec5e!8m2!3d-6.372351!4d106.8316331!16s%2Fg%2F11nb9ybts1!19sChIJe5gjuw_saS4RXuxjvV5azNw?authuser=0&hl=id&rclk=1","Detos Mall Depok","Perhentian bus","","Rute","",""
