"hfpxzc href","qBF1Pd","W4Efsd","W4Efsd 2","W4Efsd 3","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Halte+Jakabaring/data=!4m7!3m6!1s0x2e3b9dbb74d22e9d:0xb96d5b4c4e9326d8!8m2!3d-3.0207405!4d104.7834514!16s%2Fg%2F11b7k23yxd!19sChIJnS7SdLudOy4R2CaTTkxbbbk?authuser=0&hl=id&rclk=1","Halte Jakabaring","Perhentian bus","·","Jl. Gubernur H. A Bastari","","Rute"
"https://www.google.com/maps/place/Keramatdjati/data=!4m7!3m6!1s0x2e3b735dc8c12c8f:0x412b842f4f8143c0!8m2!3d-2.913436!4d104.679814!16s%2Fg%2F1pt_j8vd7!19sChIJjyzByF1zOy4RwEOBTy-EK0E?authuser=0&hl=id&rclk=1","Keramatdjati","Perhentian bus","·","JL. Raya Palembang, Betung, Palembang","","Rute"
"https://www.google.com/maps/place/Bank+Mandiri+Palembang/data=!4m7!3m6!1s0x2e3b75e4197f3ddf:0xac3a8a6f489a80d!8m2!3d-2.9816379!4d104.7452209!16s%2Fg%2F11gh1n908r!19sChIJ3z1_GeR1Oy4RDaiJ9Kaowwo?authuser=0&hl=id&rclk=1","Bank Mandiri Palembang","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Halte+RS.+Ernaldi+Bahar+A/data=!4m7!3m6!1s0x2e3b7437212cf817:0x379a013d92e90fae!8m2!3d-2.9497263!4d104.7334261!16s%2Fg%2F11b76q263m!19sChIJF_gsITd0Oy4Rrg_pkj0Bmjc?authuser=0&hl=id&rclk=1","Halte RS. Ernaldi Bahar A","Perhentian bus","·","Jl. Kolonel H. Barlian","","Rute"
"https://www.google.com/maps/place/Palembang+Souvenir+House/data=!4m7!3m6!1s0x2e3b9e0058e8bab1:0xe03b7258ae1535de!8m2!3d-2.99812!4d104.75016!16s%2Fg%2F11s7_3xstj!19sChIJsbroWACeOy4R3jUVrlhyO-A?authuser=0&hl=id&rclk=1","Palembang Souvenir House","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/RSU+Bunda+Palembang/data=!4m7!3m6!1s0x2e3b75c60966baa5:0x861e2a91d48b5164!8m2!3d-2.96783!4d104.73434!16s%2Fg%2F11s7_4t8d9!19sChIJpbpmCcZ1Oy4RZFGL1JEqHoY?authuser=0&hl=id&rclk=1","RSU Bunda Palembang","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/PT+LIMBERSA+ANUGRAH+PRIMA/data=!4m7!3m6!1s0x2e3b9fae7fc232f7:0xe975f87e870e54e3!8m2!3d-3.0085339!4d104.7230654!16s%2Fg%2F11qbv1m8yx!19sChIJ9zLCf66fOy4R41QOh374dek?authuser=0&hl=id&rclk=1","PT LIMBERSA ANUGRAH PRIMA","Layanan Transportasi","·","Jl. Letjen H. Alamsyah Ratu Perwiranegara","","Situs Web"
"https://www.google.com/maps/place/Gudang+Cat+A/data=!4m7!3m6!1s0x2e3b764026e22787:0xfe59da61c421e1ff!8m2!3d-2.9744713!4d104.7756103!16s%2Fg%2F11b76j71st!19sChIJhyfiJkB2Oy4R_-EhxGHaWf4?authuser=0&hl=id&rclk=1","Gudang Cat A","Perhentian bus","·","Jl. Perintis Kemerdekaan","","Rute"
"https://www.google.com/maps/place/Stasiun+LRT+Cinde/data=!4m7!3m6!1s0x2e3b760bdcae6b79:0x9a891130ce64eb7b!8m2!3d-2.9806013!4d104.7562686!16s%2Fg%2F11b769bkm7!19sChIJeWuu3At2Oy4Re-tkzjARiZo?authuser=0&hl=id&rclk=1","Stasiun LRT Cinde","Perhentian bus","·","Jl. Jend. Sudirman","","Rute"
"https://www.google.com/maps/place/RS+Mata+Pem+Prop+Sumsel/data=!4m7!3m6!1s0x2e3b7436c5bd4d07:0xe9086713564fe6ae!8m2!3d-2.95079!4d104.73377!16s%2Fg%2F11td4jlp4z!19sChIJB029xTZ0Oy4RruZPVhNnCOk?authuser=0&hl=id&rclk=1","RS Mata Pem Prop Sumsel","Perhentian bus","","","","Rute"
